	Accuracy	Precision	Recall	F1_score
NB	0.4636	0.7319	0.4636	0.5006
MLP	0.6046	0.8013	0.6046	0.6611
LR	0.6416	0.837	0.6416	0.7017
DT	0.9694	0.9693	0.9694	0.9691
CatB	0.9743	0.974	0.9743	0.9739
LightB	0.9756	0.9753	0.9756	0.9754
XGBoost 0.9766	0.9763  0.9766  0.9762
