	Accuracy	Precision	Recall	F1_score
DT_fold_0	0.9237	0.9351	0.9237	0.9276
DT_fold_1	0.926	0.9376	0.926	0.9297
DT_fold_2	0.9257	0.9365	0.9257	0.9294
DT_fold_3	0.9235	0.9349	0.9235	0.9269
DT_fold_4	0.9273	0.9387	0.9273	0.9315
