	Accuracy	Precision	Recall	F1_score
DT	0.9687	0.9686	0.9687	0.9684
CatB	0.9734	0.973	0.9734	0.9729
LightB	0.3349	0.4174	0.3349	0.3517
MLP	0.6307	0.8344	0.6307	0.6956
LR	0.6416	0.837	0.6416	0.7017
NB	0.4634	0.7319	0.4634	0.5002
KNN	0.9658	0.9654	0.9658	0.9655
